galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
D631-7,57.7,3.95,16,D631-7,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,"Tr09,dB01",0.098,0.3857,0.4837,1.7611758131557314,1.7611758131557314,8.684576087388455,-0.24359341018836744,-0.2336080882309286
DDO064,46.4,6.73,14,DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",0.0785,0.28063,0.35913,1.6637009253896482,1.6665179805548809,8.555251685522226,-0.040210566111721135,-0.037929446358788255
DDO154,47.4,0.7,12,DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",0.0265,0.3657500000000001,0.3922500000000001,1.6720978579357175,1.675778341674085,8.593562952258974,-0.030560222878420973,-0.03141317711103575
DDO161,66.3,0.99,31,DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,0.274,1.83274,2.1067400000000003,1.8215135284047732,1.8215135284047732,9.32361094114549,0.1894930652010114,0.19826016801010304
DDO168,54.8,2.5,10,DDO168,10,4.25,0.21,2,63.0,6.0,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,"Sa96,Br92",0.0955,0.54929,0.64479,1.7275412570285564,1.7387805584843692,8.809418293408548,-0.003947680983536372,-0.03187286941409795
DDO170,60.0,1.2,8,DDO170,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",0.2715,0.97755,1.24905,1.7781512503836436,1.7781512503836436,9.096579823713979,0.11046872601622759,0.1201113137054346
ESO079-G014,177.0,2.18,15,ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,25.8665,4.176200000000001,30.0427,2.2430380486862944,2.2479732663618064,10.477738961035453,-0.09515217697022393,-0.11184048773789534
ESO116-G012,111.0,2.33,15,ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,2.146,1.44039,3.5863899999999997,2.037824750588342,2.0453229787866576,9.554657514907793,-0.3177870485414669,-0.3391320719309032
ESO563-G021,315.0,9.07,30,ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,155.5885,32.31634,187.90484,2.497758718287268,2.4983105537896004,11.273937966679668,-0.1683813328750503,-0.17516232827993505
F563-1,111.0,10.7,17,F563-1,9,48.9,9.8,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,"KN08,dB96",0.9515,4.256,5.2075000000000005,2.0409976924234905,2.0453229787866576,9.716629278619784,-0.166645363875503,-0.17716030821891238
F563-V2,118.0,40.3,10,F563-V2,10,59.7,11.9,1,29.0,10.0,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,"dB01,dB96",1.493,2.88477,4.37777,2.0666985504229953,2.0718820073061255,9.641252940796383,-0.32974544141640116,-0.3437257729258665
F568-V1,113.0,14.6,15,F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",1.9125,3.3130300000000004,5.225530000000001,2.050379756261458,2.05307844348342,9.718130345386383,-0.19716773096277151,-0.20228725059638286
F571-8,140.0,4.0,13,F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",5.082,2.37006,7.4520599999999995,2.1451964061141817,2.146128035678238,9.872276342945087,-0.3666557191926234,-0.3676224819123206
F571-V1,83.9,6.0,7,F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",0.9245,1.61861,2.54311,1.9222062774390163,1.9237619608287002,9.405365145610164,-0.07244337707807169,-0.07105062491831582
F574-1,99.5,4.62,14,F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",3.2685,4.686920000000001,7.95542,1.9903388547876015,1.9978230807457253,9.90066311281571,0.19030031191136487,0.1699621052989393
F579-V1,114.0,9.1,14,F579-V1,5,89.5,8.95,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,"dB01,dB96",5.924,2.98585,8.90985,2.049605612594973,2.0569048513364727,9.949870392620417,0.03721467076012708,0.01631501221287479
F583-1,85.8,6.0,25,F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",0.493,2.82758,3.32058,1.9334872878487055,1.9334872878487055,9.521213947800288,0.004900390729581261,0.011406742078264642
