galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar,logV_flat,logV_out,logM,res_flat,res_out
D631-7,57.97500000000001,0.496865172858795,4,D631-7,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,"Tr09,dB01",0.098,0.3857,0.4837,1.7611758131557314,1.763240757310025,-0.3154239126115447,-0.2351558290743851,-0.2404095881374656
DDO161,66.70000000000002,0.414039335605414,7,DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,0.274,1.83274,2.1067400000000003,1.8215135284047728,1.8241258339165487,0.3236109411454907,0.1957143227771521,0.1885008972696188
F571-8,139.66666666666666,3.6817870057290873,3,F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",5.082,2.37006,7.452059999999999,2.1451964061141817,2.145092768246633,0.872276342945087,-0.3723239734699344,-0.3705431446288842
F568-V1,114.0,2.943920288775949,3,F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",1.9125,3.3130300000000004,5.225530000000001,2.050379756261458,2.0569048513364727,0.7181303453863829,-0.1993531822870614,-0.2203382015359062
DDO064,46.53333333333333,0.2624669291337274,3,DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",0.0785,0.28063,0.35913,1.6637009253896482,1.6677641635674798,-0.4447483144777733,-0.0281925397121858,-0.0402286321964009
ESO116-G012,111.0,0.816496580927726,3,ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,2.146,1.44039,3.58639,2.037824750588342,2.0453229787866576,0.5546575149077929,-0.319511329692571,-0.3438400934942548
ESO563-G021,316.8333333333333,3.6247605284885913,6,ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,155.5885,32.31634,187.90484,2.497758718287268,2.5008308664817998,2.273937966679669,-0.1869998977135063,-0.1965919444641306
IC2574,64.44285714285715,2.597172717100073,7,IC2574,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",0.508,1.3778800000000002,1.88588,1.8221680793680173,1.8091747870834536,0.2755140547873845,0.145359240105458,0.1920025215330481
NGC0024,107.0,2.0,6,NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",1.9445,0.8990800000000001,2.84358,2.0265332645232967,2.0293837776852097,0.4538654510055656,-0.381347844464397,-0.389623364600027
F563-1,110.25,2.5124689052802225,4,F563-1,9,48.9,9.8,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,"KN08,dB96",0.9515,4.256,5.2075000000000005,2.0409976924234905,2.042378598139876,0.7166292786197835,-0.1684861934514926,-0.1717067900738546
ESO079-G014,176.66666666666666,1.247219128924647,3,ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,25.8665,4.176200000000001,30.0427,2.2430380486862944,2.2471546148811266,1.4777389610354523,-0.1044143481619992,-0.1173126703082874
IC4202,241.7142857142857,5.337583340648401,7,IC4202,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,89.8745,16.39358,106.26808,2.384890796530554,2.383302318688748,2.0264028340281204,-0.0451414779210459,-0.0385168152168589
F583-1,82.96000000000001,3.6886854026875247,5,F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",0.493,2.82758,3.32058,1.9334872878487053,1.9188687433809848,0.5212139478002883,0.0070086308066031,0.0591306106902277
F574-1,99.33333333333331,0.3858612300930097,3,F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",3.2685,4.686920000000001,7.95542,1.9903388547876013,1.997095009356593,0.9006631128157099,0.1903202815683058,0.168608123493938
KK98-251,34.03333333333334,0.5436502143433384,3,KK98-251,10,6.8,2.04,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,0.0425,0.15295,0.19545,1.5276299008713388,1.5319044873672478,-0.708964325231734,0.1770355466448955,0.1644293445177539
F579-V1,114.0,0.0,3,F579-V1,5,89.5,8.95,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,"dB01,dB96",5.924,2.98585,8.90985,2.049605612594973,2.0569048513364727,0.9498703926204164,0.0350576552627913,0.0114018456981274
NGC0055,86.32000000000001,0.6493073232299177,5,NGC0055,9,2.11,0.11,2,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,"Sa96,Pu91",2.314,2.08145,4.39545,1.9324737646771533,1.9361114316748544,0.6430033441452769,0.1322946751106615,0.1214126665120343
DDO154,47.03333333333333,1.1323525167642028,3,DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",0.0265,0.3657500000000001,0.3922500000000001,1.6720978579357175,1.6724057590346852,-0.4064370477410256,-0.0188506324077354,-0.0179362714057783
NGC7814,214.0,0.0,4,NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37.2645,1.4231000000000005,38.6876,2.340245761567932,2.330413773349191,1.5875717889332932,-0.3299474599819796,-0.2948208306712019
UGC02885,298.0,0.0,4,UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201.7625,53.29975000000001,255.06225,2.4616485680634552,2.4742162640762557,2.4066461864425657,0.0702880915364696,0.02796762592597
UGC06786,221.44444444444449,5.559998223643024,9,UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",36.7035,6.689900000000001,43.3934,2.341236623238692,2.345264789261163,1.6374236797072008,-0.2835140351455383,-0.2962222274315316
