galaxy,Vout,Verr,n_points,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,Mstar,Mgas,Mbar
F568-3,111.25,7.628073151196179,4,F568-3,7,82.4,8.24,1,40.0,10.0,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1,"KN08,dB96",4.173,4.24935,8.42235
F568-1,135.0,5.0990195135927845,3,F568-1,5,90.7,9.7,1,26.0,5.0,6.252,0.564,7.0,20.36,5.18,57.13,4.498,16.31,0.0,0.0,1,"dB01,dB96",3.126,5.982340000000001,9.10834
F571-8,139.66666666666666,3.6817870057290873,3,F571-8,5,53.3,10.7,1,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,"dB01,dB96",5.082,2.37006,7.4520599999999995
F568-V1,114.0,2.943920288775949,3,F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",1.9125,3.3130300000000004,5.225530000000001
F563-1,110.25,2.5124689052802225,4,F563-1,9,48.9,9.8,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,"KN08,dB96",0.9515,4.256,5.2075000000000005
ESO563-G021,316.8333333333333,3.6247605284885913,6,ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,155.5885,32.31634,187.90484
F574-1,99.33333333333333,0.3858612300930097,3,F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",3.2685,4.686920000000001,7.95542
D631-7,57.97500000000001,0.49686517285879506,4,D631-7,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,"Tr09,dB01",0.098,0.3857,0.4837
DDO161,66.70000000000002,0.414039335605414,7,DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,0.274,1.83274,2.1067400000000003
ESO079-G014,176.66666666666666,1.247219128924647,3,ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,25.8665,4.176200000000001,30.0427
DDO154,47.03333333333333,1.1323525167642028,3,DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",0.0265,0.3657500000000001,0.3922500000000001
ESO116-G012,111.0,0.816496580927726,3,ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,2.146,1.44039,3.5863899999999997
DDO064,46.53333333333333,0.26246692913372743,3,DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",0.0785,0.28063,0.35913
UGC04278,89.08000000000001,3.0353912433160906,5,UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",0.6535,1.4842800000000003,2.1377800000000002
NGC7793,106.53,8.297475519698748,10,NGC7793,7,3.61,0.18,2,47.0,9.0,7.05,0.026,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,0.0,1,"Di08,Sa96,CP90",3.525,1.14513,4.67013
UGC02916,200.44444444444446,13.647230985817119,9,UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",62.0765,30.95309,93.02959
NGC6674,243.33333333333334,1.8856180831641267,3,NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",107.327,42.779450000000004,150.10645
NGC7331,238.375,1.8666480653835098,8,NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",125.3155,14.71911,140.03461
UGC00128,130.4,3.1368774282716245,5,UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",6.01,9.883230000000001,15.89323
UGC02885,298.0,0.0,4,UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201.7625,53.29975000000001,255.06225
UGC03546,192.5,1.707825127659933,6,UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",50.668,3.55775,54.22575
UGC02953,263.5652173913044,3.3728595396903422,23,UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",129.759,10.21174,139.97073999999998
NGC7814,214.0,0.0,4,NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37.2645,1.4231000000000003,38.687599999999996
