galaxy,r_max,M_bar_max,V_max,g0,mass_norm,slope_3,slope_5,slope_8,slope_original,slope_g_schwach,delta_g_schwach,slope_g_mittel,delta_g_mittel,slope_g_stark,delta_g_stark,slope_g_phase_halb,delta_g_phase_halb,slope_g_phase_ganz,delta_g_phase_ganz,q,regime_q,groesse
CamB,1.79,483.400598,20.1,24.750625,0.0001938070616521239,2.9225837115242492,2.970802068001277,2.962333309849223,2.970802068001277,2.9708065455169477,-4.477515670675558e-06,2.9708159564168555,-1.3888415578477975e-05,2.970830028345223,-2.796034394592084e-05,2.970806961917788,-4.8939165111505645e-06,2.9708180911212416,-1.6023119964625465e-05,,,Klein
D512-2,3.83,1794.9467349999998,37.2,546.2604166666666,0.0007196378200020835,1.9063300007504433,1.693220548594017,1.693220548594017,1.693220548594017,1.6932297853175657,-9.236723548688985e-06,1.6932509134806457,-3.0364886628664323e-05,1.6932657504860231,-4.520189200607483e-05,1.6931692099891529,5.1338604864170634e-05,1.6932025622090583,1.798638495875693e-05,,,Klein
D564-8,3.07,331.818187,25.0,143.00313725490193,0.00013303398483839894,2.5431114054703685,2.2919247091895785,2.201088148091598,2.2919247091895785,2.2919269814581202,-2.272268541769762e-06,2.291932077064494,-7.367874915509276e-06,2.291938818419249,-1.4109229670378198e-05,2.2919203556756553,4.353513923138763e-06,2.2919290118361837,-4.302646605225391e-06,0.5571372187412436,Peak,Klein
D631-7,7.19,2854.700145999999,58.5,157.17355555555554,0.0011445187479767018,3.066430488653776,2.7865554368270304,2.587047523233047,2.7865554368270304,2.786576898306113,-2.146147908277385e-05,2.786630199206896,-7.476237986558942e-05,2.7867091592130127,-0.00015372238598221344,2.7866246480026637,-6.921117563329915e-05,2.7866377832419795,-8.234641494908601e-05,0.348322941866935,Peak,Klein
DDO064,2.98,2347.325140000001,46.9,395.641,0.0009410997628214779,2.1935823351907575,2.116226220486721,2.289961080078847,2.116226220486721,2.116238434031837,-1.2213545116157576e-05,2.1162545451852655,-2.8324698544412996e-05,2.116275130349457,-4.8909862735868614e-05,2.116316661033701,-9.044054697993076e-05,2.1162915175658177,-6.529707909663784e-05,0.2743817236319073,Peak,Klein
DDO154,5.92,1680.0794240000002,48.2,388.6530612244899,0.0006735847201157846,2.3302523826419708,2.2829844327980946,2.1821400507926794,2.2829844327980946,2.282996284634012,-1.1851835917564557e-05,2.2830222677580054,-3.7834959910831856e-05,2.2830564376868407,-7.200488874614663e-05,2.283006253944501,-2.1821146406253433e-05,2.2830390634548907,-5.463065679611745e-05,0.4186737825173218,Peak,Klein
DDO161,13.37,13861.246679999998,67.5,426.6666666666667,0.005557311060434513,1.841566360306868,2.0356823998846614,2.2253148980988233,2.0356823998846614,2.0357876948862343,-0.00010529500157296923,2.0359312610678857,-0.0002488611832243137,2.0360799884213043,-0.00039758853664295657,2.0361554495497636,-0.0004730496651021987,2.0359928648880543,-0.0003104650033929346,0.4368254162508485,Peak,Klein
DDO168,4.12,3234.54814,55.0,548.7804878048781,0.0012968090510838439,2.211973597562005,2.3033973351667525,2.3042760648001632,2.3033973351667525,2.303421067627628,-2.373246087561398e-05,2.3034691397354243,-7.180456867184049e-05,2.3035327673304233,-0.00013543216367084554,2.3033981438401865,-8.086734339940449e-07,2.3035098670375604,-0.00011253187080795257,0.3227056369471098,Peak,Klein
DDO170,12.33,10550.969382000001,62.2,410.3155080213903,0.004230140347296273,2.34929442219636,2.0573625801636757,1.8056348944551612,2.0573625801636757,2.057384788722353,-2.2208558677405676e-05,2.0575277700661125,-0.0001651899024368575,2.0577756117768415,-0.00041303161316585957,2.057285150418285,7.74297453904893e-05,2.057467545674374,-0.00010496551069838489,1.2031693859299848,Transition,Klein
ESO079-G014,16.67,284599.1251100001,178.0,2688.3902439024396,0.11410271401098745,1.6818936218301848,1.7833674763424883,1.9763885831827983,1.7833674763424883,1.7850163995941377,-0.0016489232516494479,1.7874317012764618,-0.004064224933973515,1.7887750534848395,-0.005407577142351183,1.7918541602531355,-0.00848668391064722,1.7890345079721206,-0.005667031629632335,0.4620823752548555,Peak,Uebergang
