galaxy,inner_slope,n_points
CamB,2.970802068001277,5
D512-2,1.693220548594017,5
D564-8,2.2919247091895785,5
D631-7,2.7865554368270304,5
DDO064,2.116226220486721,5
DDO154,2.2829844327980946,5
DDO161,2.0356823998846614,5
DDO168,2.3033973351667525,5
DDO170,2.0573625801636757,5
ESO079-G014,1.7833674763424883,5
ESO116-G012,2.142661561478088,5
ESO444-G084,2.0710211043734694,5
ESO563-G021,2.8218248933589067,5
F561-1,1.949539023824041,5
F563-1,3.444199779817548,5
F563-V1,2.1374815670642024,5
F563-V2,2.9295344605695615,5
F565-V2,2.563890160958077,5
F567-2,1.7619268353389177,5
F568-1,2.75223749991198,5
F568-3,2.963789777989989,5
F568-V1,2.5628848032799127,5
F571-8,2.4066559351087378,5
F571-V1,2.1781514589552966,5
F574-1,2.5717721068194646,5
F574-2,2.4456037504592896,5
F579-V1,1.9771535764586998,5
F583-1,1.5945618586446388,5
F583-4,2.170454360514501,5
IC2574,2.6045541750110677,5
IC4202,3.0868271178810636,5
KK98-251,2.977381065614508,5
NGC0024,3.0459486061944965,5
NGC0055,2.2485464747576014,5
NGC0100,2.854144558211796,5
NGC0247,2.254423280222649,5
NGC0289,1.0853867919236948,5
NGC0300,2.208303481291112,5
NGC0801,2.285015064304159,5
NGC0891,0.9552773592940527,5
NGC1003,1.9015122232020514,5
NGC1090,2.4589075370397477,5
NGC1705,1.3654436839620152,5
NGC2366,2.5708419755426717,5
NGC2403,2.433381763021532,5
NGC2683,0.9312206312417519,5
NGC2841,1.4345235552015858,5
NGC2903,2.7345578654883895,5
NGC2915,2.824269821128894,5
NGC2955,1.5185689679898733,5
NGC2976,3.1851300936231413,5
NGC2998,1.659095194887058,5
NGC3109,2.690583047898626,5
NGC3198,2.2190683708208363,5
NGC3521,1.6776569074801488,5
NGC3726,1.9064663826349348,5
NGC3741,1.9671203517052078,5
NGC3769,1.4697564895383821,5
NGC3877,2.781966359735565,5
NGC3893,1.3335147813288708,5
NGC3917,2.906339385453522,5
NGC3949,1.4732781624219535,5
NGC3953,1.400286875223212,5
NGC3972,2.264233470040904,5
NGC3992,1.1297322353524315,5
NGC4010,2.087340378851997,5
NGC4013,0.9393424668417614,5
NGC4051,1.4169751991813835,5
NGC4068,2.8851314854184453,5
NGC4085,2.427915925289768,5
NGC4088,1.969629912017288,5
NGC4100,2.091507001428089,5
NGC4138,0.7525723949662735,5
NGC4157,1.9435997129247518,5
NGC4183,1.8684140091246477,5
NGC4214,1.2702901463449126,5
NGC4217,2.64816155288163,5
NGC4389,2.5236931946962162,5
NGC4559,1.959985912462687,5
NGC5005,1.1553248632531194,5
NGC5033,1.0850762703632855,5
NGC5055,1.5541268007926186,5
NGC5371,0.9920146955563662,5
NGC5585,2.0524066055123567,5
NGC5907,1.1657341531643541,5
NGC5985,1.5906452388072523,5
NGC6015,2.4529593054988394,5
NGC6195,1.4406371342019233,5
NGC6503,1.5688982345512317,5
NGC6674,1.2450773549326046,5
NGC6789,2.498988727064653,5
NGC6946,0.8498054718252397,5
NGC7331,1.4559823533448026,5
NGC7793,3.8127290491659145,5
NGC7814,0.8451604747875945,5
PGC51017,0.8977404338229499,5
UGC00128,2.109686027448026,5
UGC00191,2.4066642517831562,5
UGC00634,1.6552149731336248,5
UGC00731,1.883197399147771,5
UGC00891,2.2068835333263084,5
UGC01230,2.603836465272309,5
UGC01281,3.147414477216563,5
UGC02023,2.671023400095264,5
UGC02259,1.5163617071572792,5
UGC02455,2.0031126458650035,5
UGC02487,0.8895064060220016,5
UGC02885,0.9585199300984941,5
UGC02916,1.1997226407108528,5
UGC02953,1.003650031169992,5
UGC03205,1.5089646126302871,5
UGC03546,0.6041994787807679,5
UGC03580,1.304635370992338,5
UGC04278,2.7830436738713082,5
UGC04305,3.747703756627017,5
UGC04325,1.9947871938510318,5
UGC04483,2.3507143711062697,5
UGC04499,2.1819205613650334,5
UGC05005,2.4005504767754062,5
UGC05253,1.021044777925473,5
UGC05414,2.280249752123088,5
UGC05716,1.6004107530916716,5
UGC05721,2.1488878598454986,5
UGC05750,3.0607036788889705,5
UGC05764,2.1137442947654828,5
UGC05829,2.317568345414766,5
UGC05918,2.0609958147091736,5
UGC05986,2.4784865789823196,5
UGC05999,1.9898657725824533,5
UGC06399,2.4144517136109855,5
UGC06446,1.926279226730066,5
UGC06614,0.7972201087889419,5
UGC06628,1.5530282551113939,5
UGC06667,2.324376666954468,5
UGC06786,1.1164896082924174,5
UGC06787,1.9382978525076169,5
UGC06818,2.1966726040013542,5
UGC06917,1.9434706473961303,5
UGC06923,1.9234817737466956,5
UGC06930,1.7724166125089016,5
UGC06973,0.9940074242521713,5
UGC06983,1.915572163001826,5
UGC07089,2.26436129877278,5
UGC07125,1.9376756426056274,5
UGC07151,2.3042893705945513,5
UGC07232,2.4404656534973306,5
UGC07261,1.5377526653641564,5
UGC07323,2.094736445680523,5
UGC07399,1.8363979579523693,5
UGC07524,2.179487529164483,5
UGC07559,2.4511344714140018,5
UGC07577,2.3123144543240812,5
UGC07603,2.326464232088541,5
UGC07608,2.6865575974832225,5
UGC07690,1.2967804890703978,5
UGC07866,2.0353940289558605,5
UGC08286,2.509774663602558,5
UGC08490,1.8023832580277066,5
UGC08550,1.8656095615736374,5
UGC08699,1.3143282810806534,5
UGC08837,2.9343010278710953,5
UGC09037,2.285472599972545,5
UGC09133,0.9813485943587317,5
UGC09992,1.245350965396988,5
UGC10310,1.9569626671545157,5
UGC11455,2.665561913966828,5
UGC11557,3.329774068132628,5
UGC11820,2.5537083768976196,5
UGC11914,1.7600570524110162,5
UGC12506,1.628725862908811,5
UGC12632,2.1309322404951,5
UGC12732,1.8960436943597685,5
UGCA281,2.3399162500205173,5
UGCA442,2.249330246901657,5
UGCA444,2.126567968683053,5
