galaxy,inner_slope,n_points_x,filename,p,q,MSE,n_points_y,regime_q,dist_to_nfw,dist_to_obs_core
CamB,2.970802068001277,5,,,,,,,0.970802068001277,0.17080206800127717
D512-2,1.693220548594017,5,,,,,,,0.30677945140598295,0.5067794514059831
D564-8,2.2919247091895785,5,D564-8_rotmod.dat,2.210174235299544,0.5571372187412436,0.0003152451920339,6.0,Peak,0.29192470918957847,0.0
D631-7,2.7865554368270304,5,D631-7_rotmod.dat,3.0,0.348322941866935,0.0010815368852042,14.0,Peak,0.7865554368270304,0.0
DDO064,2.116226220486721,5,DDO064_rotmod.dat,3.0,0.2743817236319073,0.0046387219153924,14.0,Peak,0.11622622048672104,0.08377377951327913
DDO154,2.2829844327980946,5,DDO154_rotmod.dat,2.174129181724405,0.4186737825173218,0.0008867271835759,12.0,Peak,0.2829844327980946,0.0
DDO161,2.0356823998846614,5,DDO161_rotmod.dat,2.403306348260951,0.4368254162508485,0.0005569484760052,31.0,Peak,0.035682399884661375,0.1643176001153388
DDO168,2.3033973351667525,5,DDO168_rotmod.dat,2.999999999999987,0.3227056369471098,0.0056742085521469,10.0,Peak,0.3033973351667525,0.0
DDO170,2.0573625801636757,5,DDO170_rotmod.dat,1.1341006273770096,1.2031693859299848,0.0035848917070339,8.0,Transition,0.05736258016367568,0.1426374198363245
ESO079-G014,1.7833674763424883,5,ESO079-G014_rotmod.dat,2.1275089994297827,0.4620823752548555,0.0026137934725979,15.0,Peak,0.21663252365751173,0.4166325236575119
ESO116-G012,2.142661561478088,5,ESO116-G012_rotmod.dat,1.6997680842730598,0.5793447164038469,0.0016288419849842,15.0,Peak,0.14266156147808795,0.05733843852191223
ESO444-G084,2.0710211043734694,5,ESO444-G084_rotmod.dat,1.4062130704815965,0.703948088461353,0.0003798057548146,7.0,Peak,0.07102110437346942,0.12897889562653075
ESO563-G021,2.8218248933589067,5,ESO563-G021_rotmod.dat,0.7069138184439013,2.441721243466887,0.0073084498006818,27.0,Transition,0.8218248933589067,0.021824893358906916
F561-1,1.949539023824041,5,F561-1_rotmod.dat,2.5155108627616563,0.2,0.0302607350922146,6.0,Peak,0.050460976175958905,0.2504609761759591
F563-1,3.444199779817548,5,F563-1_rotmod.dat,0.8120723103311142,1.3643710860071374,0.0097818306619804,17.0,Transition,1.444199779817548,0.6441997798175483
F563-V1,2.1374815670642024,5,F563-V1_rotmod.dat,0.9813224400676284,1.2593809947170418,0.20993836060321,6.0,Transition,0.13748156706420245,0.06251843293579773
F563-V2,2.9295344605695615,5,F563-V2_rotmod.dat,1.3318690468094994,0.5260080260318406,0.0054569668313763,10.0,Peak,0.9295344605695615,0.12953446056956164
F565-V2,2.563890160958077,5,F565-V2_rotmod.dat,2.1063688571139862,0.5670040595578781,0.0008281114807094,7.0,Peak,0.5638901609580769,0.0
